workbook_row,state_abbr,city,strict_25,strict_25_60,broad_25,broad_25_60,otp_25,geocode_status,residential_25,residential_25_60,inpatient_25,inpatient_25_60,detox_25,detox_25_60,php_25,php_25_60,iop_25,iop_25_60,adolescent_25,adolescent_25_60,young_adult_25,young_adult_25_60,women_25,women_25_60,men_25,men_25_60,pregnant_25,pregnant_25_60,veterans_25,veterans_25_60,seniors_25,seniors_25_60,criminal_justice_25,criminal_justice_25_60,eating_disorder_25,eating_disorder_25_60,tbi_25,tbi_25_60,first_episode_psychosis_25,first_episode_psychosis_25_60,alzheimers_25,alzheimers_25_60
75,HI,Honolulu,41,2,59,3,0,OK,7,1,1,0,5,0,9,0,38,1,39,1,12,0,12,0,14,0,10,0,15,0,12,0,19,0,0,0,1,0,0,0,0,0
76,HI,Kahului,5,2,5,2,0,OK,1,0,0,0,1,0,2,0,3,2,2,1,3,0,3,0,2,0,3,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0
77,ID,Boise,25,4,99,18,4,OK,5,2,7,0,5,0,15,1,17,2,15,2,48,3,34,3,34,3,19,3,41,6,45,6,35,4,16,1,22,1,16,3,7,1
78,ID,Coeur d'Alene,10,21,24,37,2,OK,3,7,2,1,1,2,3,3,8,14,4,4,14,13,12,12,14,10,8,6,14,7,15,11,12,7,3,1,7,2,5,0,1,1
79,ID,Idaho Falls,13,10,33,23,0,OK,2,2,1,2,1,1,3,3,11,6,8,4,22,14,11,9,11,9,5,4,9,12,18,13,11,12,5,4,7,7,6,4,5,3
80,ID,Pocatello,9,11,18,33,1,OK,2,3,2,2,1,2,3,3,6,9,2,8,11,20,7,11,7,12,2,6,9,10,10,18,10,12,3,5,5,6,3,6,2,5
81,IL,Chicago,231,121,379,196,13,OK,51,29,27,10,35,22,67,35,151,82,58,38,160,58,132,69,147,69,83,26,135,37,147,56,142,67,49,14,15,4,24,10,10,5
82,IL,Naperville,150,209,243,344,8,OK,27,57,19,17,24,29,47,55,105,135,39,61,84,143,82,121,85,134,39,73,61,116,77,130,81,130,25,42,5,14,14,20,8,7
83,IL,Rockford,18,116,33,194,1,OK,7,23,1,15,1,16,2,37,10,72,5,35,12,62,8,64,9,64,7,32,10,45,12,61,10,67,6,22,0,6,4,15,0,7
84,IL,Peoria,15,19,21,32,1,OK,5,1,1,1,4,1,2,5,6,16,4,9,4,21,9,11,9,10,4,7,7,11,3,13,9,14,2,6,4,4,0,3,0,1
85,IL,Springfield,10,18,13,36,0,OK,2,7,0,0,4,1,3,4,5,14,4,9,5,13,8,14,8,14,4,5,5,6,4,7,8,13,0,1,0,1,0,3,0,0
86,IL,Champaign,6,25,10,44,0,OK,2,6,2,2,0,3,2,5,3,20,2,7,6,15,4,18,4,16,3,5,6,8,5,8,5,14,2,2,1,0,1,4,0,0
87,IN,Indianapolis,59,48,103,118,1,OK,18,21,13,11,18,17,16,9,36,23,11,15,33,27,50,42,46,34,25,26,43,51,37,35,46,50,15,12,6,7,9,6,6,10
88,IN,Fort Wayne,23,31,34,60,1,OK,9,9,6,9,8,3,4,6,16,15,8,19,19,21,16,20,16,18,8,8,11,15,18,15,17,29,2,9,3,10,4,4,2,6
89,IN,Evansville,27,17,40,55,1,OK,9,3,7,3,11,4,10,4,12,12,7,5,19,13,17,19,16,19,7,14,15,16,15,18,27,30,9,6,9,4,2,1,7,11
90,IN,South Bend,16,42,31,82,0,OK,7,12,5,5,6,10,3,5,9,25,5,19,8,28,14,30,12,30,4,20,7,23,3,28,13,37,3,6,3,4,3,7,2,4
91,IN,Bloomington,13,85,31,165,1,OK,10,29,2,20,5,25,2,17,3,48,6,18,5,41,13,73,12,69,9,38,19,71,6,55,16,72,2,26,2,8,2,13,2,14
92,IN,Lafayette,4,67,12,125,0,OK,0,18,1,16,2,20,1,17,2,42,0,20,2,42,2,65,2,55,1,27,4,48,3,52,5,60,1,15,1,5,1,6,1,8
93,IA,Des Moines,20,14,38,34,1,OK,9,7,1,1,2,2,4,1,14,8,9,13,15,8,19,10,16,8,10,8,15,5,15,8,23,9,2,2,3,1,1,0,2,1
94,IA,Cedar Rapids,22,8,33,20,0,OK,8,2,4,2,3,0,7,4,13,5,8,5,11,8,9,5,9,4,10,4,11,7,11,6,19,6,5,2,2,1,0,1,1,2
95,IA,Davenport,14,20,21,37,0,OK,7,7,1,3,2,3,4,5,10,14,3,12,7,17,7,12,6,12,3,11,7,16,5,17,9,25,1,9,0,7,0,5,0,2
96,IA,Iowa City,14,27,22,53,0,OK,7,10,3,3,3,2,3,10,8,19,7,10,8,18,6,15,6,13,7,10,8,16,7,16,14,22,4,4,2,2,0,3,0,3
97,IA,Sioux City,12,4,18,9,0,OK,4,0,1,2,2,1,0,0,8,2,6,2,8,3,5,4,5,4,3,3,6,4,5,4,7,5,3,1,1,0,1,1,2,0
98,KS,Wichita,17,12,29,19,2,OK,5,5,0,1,4,2,3,1,9,8,7,6,13,6,14,10,10,7,9,2,5,1,5,4,15,11,2,0,3,1,2,0,1,1
99,KS,Overland Park,53,31,88,44,1,OK,19,16,5,4,8,7,13,5,35,19,16,12,40,19,28,19,31,16,18,15,33,18,33,20,49,25,8,7,8,2,9,5,0,5
100,KS,Topeka,11,53,13,79,1,OK,8,15,1,6,3,9,1,7,6,35,5,26,5,37,6,33,5,33,6,23,5,34,6,35,9,47,2,10,0,4,1,4,0,1
101,KS,Lawrence,9,76,12,116,2,OK,6,28,0,10,4,11,2,15,7,48,5,26,6,53,5,40,4,43,5,28,4,48,5,48,9,63,2,13,1,9,1,13,0,3
102,KY,Louisville,45,44,89,81,4,OK,22,17,10,8,16,15,9,10,25,24,8,11,22,27,35,35,36,33,28,26,35,41,28,31,45,48,8,16,6,13,8,11,6,7
103,KY,Lexington,41,49,66,85,2,OK,10,17,4,6,8,8,8,12,30,29,9,19,19,28,32,37,32,45,19,19,31,33,25,32,42,62,4,9,6,13,8,21,1,6
104,KY,Covington,71,73,121,144,7,OK,23,16,12,8,23,23,28,31,41,46,8,22,44,43,41,45,39,47,32,38,31,48,35,52,47,64,17,12,8,17,9,18,4,12
105,KY,Bowling Green,8,54,25,91,1,OK,6,16,2,7,5,13,3,7,4,32,3,16,11,35,13,37,14,38,9,34,11,38,12,40,14,53,5,22,3,17,1,6,2,8
106,KY,Owensboro,22,25,31,58,0,OK,5,8,6,4,8,5,7,6,12,16,7,6,11,22,15,18,15,18,6,12,10,19,12,17,20,38,4,10,2,12,1,3,2,11
107,LA,New Orleans,30,16,49,26,0,OK,8,5,7,8,12,11,8,4,19,5,7,5,27,8,26,14,27,14,18,7,17,12,23,12,11,11,6,8,3,6,5,4,6,2
108,LA,Baton Rouge,24,23,32,41,0,OK,9,11,4,7,9,11,11,13,16,13,3,8,15,15,16,23,17,23,9,8,15,19,12,17,17,17,7,6,5,4,1,4,3,1
109,LA,Shreveport,13,4,20,13,1,OK,6,0,4,1,6,0,4,0,11,3,5,2,7,5,12,3,14,3,9,3,11,6,9,8,13,3,3,1,4,2,2,1,4,2
110,LA,Lafayette,15,29,25,40,1,OK,8,12,6,9,4,9,9,8,9,17,5,4,9,17,12,20,11,22,6,9,14,20,10,17,13,19,6,6,4,6,3,2,2,4
111,LA,Lake Charles,8,24,11,31,0,OK,3,5,2,6,1,2,2,4,5,13,1,7,6,17,4,15,5,14,1,14,7,17,5,16,3,18,2,4,1,3,2,6,0,4
112,ME,Portland,18,24,49,57,3,OK,8,11,2,1,8,4,4,2,6,11,1,4,12,14,18,17,19,18,13,16,12,15,15,15,14,15,3,5,2,4,1,5,1,1
